br	fr_target	fr_gpt-3.5-turbo	score_gpt-3.5-turbo	price_x	tokens_x	br_words	fr_gpt-4-turbo-2024-04-09	score_gpt-4-turbo-2024-04-09	price_y	tokens_y
Eñvorennoù : geriadur Ernod 1927	Souvenirs : dictionnaire Ernault 1927	Environnements : dictionnaire Ernod 1927	0.9447008371353149	0.002891	3134	5	Souvenirs : dictionnaire Ernod 1927	0.9722100496292114	0.029824999999999997	3195
"
A-benn ar fin ez eo tost an dilojadeg du-mañ da vezañ echu"	 Enfin, le déménagement chez moi est presque terminé	"
À la fin, cette collection est sur le point de se terminer"	0.9264877438545227	0.002891	3134	12	"
Enfin, le déménagement de cet endroit est presque terminé"	0.9744137525558472	0.029824999999999997	3195
 Goude pakañ e vez dispakañ d’ober, hag e-barzh unan eus ar boestadoù levrioù em eus adkavet « Geriadurig brezonekgallek » Emile Ernault (1852- 1938) embannet er bloavezh 1927	" Après avoir emballé, il faut déballer, et dans l'une des boîtes de livres, j'ai retrouvé le ""Petit dictionnaire breton-français"" d'Émile Ernault (1852-1938) publié en 1927"	" Après avoir emballé, il est temps de déballer pour travailler, et dans l'un des livres que j'ai retrouvé ""Dictionnaire breton-gallois"" d'Emile Ernault (1852-1938) publié en 1927"	0.9835301637649536	0.002891	3134	29	 Après avoir emballé, il faut déballer, et dans l'une des boîtes de livres, j'ai retrouvé le « Petit dictionnaire breton-français » d'Emile Ernault (1852-1938) publié en 1927	0.9953827857971191	0.029824999999999997	3195
 Un tamm levrig bihan eo 9 santimetr dre 13,5 santimetr	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	1.0	0.002891	3134	11	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	1.0	0.029824999999999997	3195
 Bihan ne dalvez ket ez eo paour ha divalav	 Petit ne signifie pas qu'il est pauvre et sans valeur	 Il ne semble pas petit mais élégant	0.9099586009979248	0.002891	3134	10	 Petit ne signifie pas qu'il soit pauvre et sans valeur	0.9970099925994873	0.029824999999999997	3195
 Ur bern gerioù a zo kouchet e-barzh, gerioù da skouer bet klevet gantañ gant e bried, un dimezell Herri, ur Oueloùardez anezhi pinvidik-tre he yezh	 Il contient une multitude de mots, des mots qu'il avait entendus de sa femme, une demoiselle Herri, une femme du Goëlo avec un parler riche	 Beaucoup de mots sont cachés à l'intérieur, des mots par exemple entendus par lui-même, un certain Herri, une Oueloùardez très riche en langue	0.9751167893409729	0.002891	3134	26	 Il contient une multitude de mots, des mots qu'il avait par exemple entendus de sa femme, Mademoiselle Herri, une femme de Ouelo très riche en langue	0.9768555164337158	0.029824999999999997	3195
 Emile Ernault en doa desket brezhoneg e-unan e Sant-Brieg hag eñ den-bras, setu perak en devoa selaouet pizh yezh e wreg, rak pa vez nevez desket ur yezh e vez ezhomm da gomz ha da selaou ouzh brezhonegerien avihanik	 Émile Ernault avait appris le breton par lui-même à Saint-Brieuc alors qu'il était déjà adulte, c'est pourquoi il avait écouté attentivement la langue de sa femme, car lorsqu'on apprend une nouvelle langue, il est nécessaire de parler et d'écouter des locuteurs natifs	 Emile Ernault a appris le breton lui-même à Saint-Brieuc et à un grand homme, c'est pourquoi il a écouté attentivement la langue de sa femme, car lorsqu'on apprend une langue nouvelle, il est bon de parler et d'écouter les locuteurs natifs bretons	0.9804397225379944	0.002891	3134	40	 Emile Ernault avait appris le breton par lui-même à Saint-Brieuc alors qu'il était déjà adulte, c'est pourquoi il écoutait attentivement la langue de sa femme, car lorsqu'on apprend une nouvelle langue, il est nécessaire de parler et d'écouter des locuteurs natifs	0.998811662197113	0.029824999999999997	3195
 Heuilh a reas kentelioù Jozef Loth e Roazhon ivez	 Il suivit également les cours de Joseph Loth à Rennes	 Il a également suivi des cours de Joseph Loth à Rennes	0.9857312440872192	0.002891	3134	10	 Il a également suivi les cours de Joseph Loth à Rennes	0.9908351898193359	0.029824999999999997	3195
 Ganet e oa ma zad e 1910	 Mon père est né en 1910	 Il est né en 1910	0.9513727426528931	0.002891	3134	8	 Mon père est né en 1910	0.9999997019767761	0.029824999999999997	3195
 Tuet evel ma oa da zeskiñ yezhoù, e soñjas d’e dad e c’hallfe ar geriadurig-se plijout d’e vab	 Passionné d'apprentissage des langues, son père pensa que ce petit dictionnaire pourrait plaire à son fils	 Comme son père était un linguiste, il pensait que ce dictionnaire plairait à son fils	0.9505521059036255	0.002891	3134	19	 Doué pour les langues, il pensa que ce petit dictionnaire pourrait plaire à son fils	0.9740515351295471	0.029824999999999997	3195
