task	model	src	target	prediction	score	price	n_tokens	src_n_words
br2fr	command-r-plus	Eñvorennoù : geriadur Ernod 1927	Souvenirs : dictionnaire Ernault 1927	Dictionnaires : dictionnaire Ernod 1927	0.6780233850474378	0.0	704	5
br2fr	command-r-plus	 A-benn ar fin ez eo tost an dilojadeg du-mañ da vezañ echu	 Enfin, le déménagement chez moi est presque terminé	 À la fin, cette sombre affaire sera bientôt terminée	0.4994342277265762	0.0	704	13
br2fr	command-r-plus	 Goude pakañ e vez dispakañ d’ober, hag e-barzh unan eus ar boestadoù levrioù em eus adkavet « Geriadurig brezonekgallek » Emile Ernault (1852- 1938) embannet er bloavezh 1927	" Après avoir emballé, il faut déballer, et dans l'une des boîtes de livres, j'ai retrouvé le ""Petit dictionnaire breton-français"" d'Émile Ernault (1852-1938) publié en 1927"	" Après hésitation, il est décidé de faire et dans l'un des états des livres, j'ai retrouvé le ""Dictionarium brezonekgallek"" d'Emile Ernault (1852-1938) publié en 1927"	0.6442188832152407	0.0	704	29
br2fr	command-r-plus	 Un tamm levrig bihan eo 9 santimetr dre 13,5 santimetr	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	1.0000000921797914	0.0	704	11
br2fr	command-r-plus	 Bihan ne dalvez ket ez eo paour ha divalav	 Petit ne signifie pas qu'il est pauvre et sans valeur	 Petit mais non pauvre et négligé	0.657597951519436	0.0	704	10
br2fr	command-r-plus	 Ur bern gerioù a zo kouchet e-barzh, gerioù da skouer bet klevet gantañ gant e bried, un dimezell Herri, ur Oueloùardez anezhi pinvidik-tre he yezh	 Il contient une multitude de mots, des mots qu'il avait entendus de sa femme, une demoiselle Herri, une femme du Goëlo avec un parler riche	 Il contient une multitude de mots, des mots par exemple entendus par lui de la bouche d'une certaine Mademoiselle Herri, une Ouessantine elle aussi très savante dans sa langue	0.8536811762622363	0.0	704	26
br2fr	command-r-plus	 Emile Ernault en doa desket brezhoneg e-unan e Sant-Brieg hag eñ den-bras, setu perak en devoa selaouet pizh yezh e wreg, rak pa vez nevez desket ur yezh e vez ezhomm da gomz ha da selaou ouzh brezhonegerien avihanik	 Émile Ernault avait appris le breton par lui-même à Saint-Brieuc alors qu'il était déjà adulte, c'est pourquoi il avait écouté attentivement la langue de sa femme, car lorsqu'on apprend une nouvelle langue, il est nécessaire de parler et d'écouter des locuteurs natifs	 Emile Ernault avait appris le breton tout seul à Saint-Brieuc et comme il est de règle, lorsqu'on apprend une langue, d'écouter et de parler avec des bretonnants natifs, il avait beaucoup écouté sa femme, dont la langue maternelle était le breton	0.918943196531516	0.0	704	40
br2fr	command-r-plus	 Heuilh a reas kentelioù Jozef Loth e Roazhon ivez	 Il suivit également les cours de Joseph Loth à Rennes	 Il a aussi suivi les cours de Joseph Loth à Rennes	0.9652464079192228	0.0	704	10
br2fr	command-r-plus	 Ganet e oa ma zad e 1910	 Mon père est né en 1910	 Né en 1910, il était le fils de mon père	0.7234520070798398	0.0	704	8
br2fr	command-r-plus	 Tuet evel ma oa da zeskiñ yezhoù, e soñjas d’e dad e c’hallfe ar geriadurig-se plijout d’e vab	 Passionné d'apprentissage des langues, son père pensa que ce petit dictionnaire pourrait plaire à son fils	 Étant lui-même linguiste, il a pensé que ce dictionnaire plairait à son fils	0.801757988571648	0.0	704	19
br2fr	llama3-70b-8192	Eñvorennoù : geriadur Ernod 1927	Souvenirs : dictionnaire Ernault 1927	Souvenirs : dictionnaire Ernod 1927	0.9166901572306796	0.0	762	5
br2fr	llama3-70b-8192	 A-benn ar fin ez eo tost an dilojadeg du-mañ da vezañ echu	 Enfin, le déménagement chez moi est presque terminé	 Enfin, après tant d'années, la rédaction de ce dictionnaire est sur le point d'être achevée	0.510777756411102	0.0	762	13
