br	fr
"Ar Radom e Pleuveur-Bodou.
"	"Le Radôme à Pleumeur-Bodou.
"
"Klevet ho-peus 'michans komz deuz ar Radom? Ma! setu aze eur mekanik hag e-neus lakeet ahanon da dapoud tomm.
"	"Avez-vous peut-être entendu parler du Radôme? Eh bien! voilà une machine qui m'a fait prendre un coup de chaud.
"
"Me oa o chom du-hont en ti bihan ruz hag a veve brao deuz ma zamm douar.
"	"J'habitais là-bas dans la petite maison rouge et je vivais bien de mon petit bout de terre. 
"
"Setu eun devez e oan o plantaň kôl eh erruas tri pe bevar ôtrou da zelled ha da vuzuri, hag int da lared din: << Ma den mad, emeze, ne dalvez ket ar boan deoh plantaň kôl aze rag nim a ha da gemer ho touar da blantañ e-barz eur gôlenn all hag a raio eur bomeenn diforh deuz ar re a oh o lakaad aze"".
"	"Voici qu'un jour où je plantais des choux, trois ou quatre messieurs sont arrivés pour regarder et mesurer, et ils m'ont dit : ""Mon bon monsieur, ont-ils dit, cela ne vaut pas la peine de planter des choux ici car nous allons prendre votre terre pour y planter une autre sorte de chou qui fera un pommé différent de ceux que vous plantez ici"".
"
"""Petra? 'mome. N'eo ket posubl avad, rag da gaoud kôl pome n'eus ket a seurt din-me. 
"	"""Quoi? ai-je dit. Ce n'est pas possible bon sang, car pour avoir des choux pommés, il n'y a pas mieux que les miens. 
"
"Warlene em-oa reou ha pa vije d'ober lakaad unan er zoubenn, e ranke ma gwreg ha me kregi on-daou er bommeen evid teurel anezi er pot-houarn. 
"	"L'année dernière, j'en avais et quand il fallait en mettre un dans la soupe, ma femme et moi devions nous y mettre à deux pour prendre le pommé pour le jeter dans la marmite.
"
"Me houlenn petore espes eo ho reou ma'h int kaerroh evid ar re-mañ?""
"	"Je demande quelle sorte sont les vôtres s'ils sont plus beaux que ceux-ci?"" 
"
"""Ar gôlenn ah eom nim da blantaň aman, emeze, a zo eur radom"".
"	"""Le chou que nous allonsi, nous, planter ici, ont-ils dit, est un radôme"".
"
"Ma hini goz a oa o skubañ an ti hag a arruas war doull an nor gand he skubelenn.
"	"Ma vieille était en train de balayer la maison et est arrivée sur le seuil de la porte avec son balai.
"
"-""Petra, emezi, a vank d'an ôtrounez-ze? Dond da blantan kôl-radom 'n em fark? Mond da stoupaiñ gand espejou a hiz nevez, petra eo ar fardaj-se? Komzet din deuz kôl d'ober zoubenn ha kôl sklech d'ar moh ha d'ar lapined"". 
"	"-"" Quoi, a-t-elle dit, qu'est-ce qui manque à ces messieurs? Venir planter des choux-radômes dans notre champ? Aller boucher avec des espèces de nouvelle mode, qu'est-ce que c'est que cette manigance? Parlez-moi de choux pour faire de la soupe et de choux fourragers pour les porcs et les lapins"". 
"
"Ne dalv ket ar boan deoh grognal, emeze, pa ne gomprenet netra. 
"	"Cela ne vaut pas la peine de vous énerver, ont-ils dit, car vous ne comprenez rien. 
"
"Pa vo savet ar radom, e vefet lakeet e-barz evel ""gardianed"" hag e honezfet brao ho puhez.
"	"Quand le radôme sera construit, vous serez mis dedans comme gardiens et vous gagnerez joliment votre vie.
"
