task	model	src	target	prediction	score	price	n_tokens	src_n_words
br2fr	command-r-plus	"Ar Radom e Pleuveur-Bodou.
"	"Le Radôme à Pleumeur-Bodou.
"	"Quand le radar sera découvert, il sera placé à l'intérieur comme un ""gardien"" et il protégera bien votre vie."	0.350168666202007	0.0	1045	4
br2fr	llama3-70b-8192	"Ar Radom e Pleuveur-Bodou.
"	"Le Radôme à Pleumeur-Bodou.
"	"Le Radom à Pleuveur-Bodou.
"	0.7227906040602294	0.0	1144	4
br2fr	llama3-70b-8192	Klevet ho-peus 'michans komz deuz ar Radom? Ma! setu aze eur mekanik hag e-neus lakeet ahanon da dapoud tomm	Avez-vous peut-être entendu parler du Radôme? Eh bien! voilà une machine qui m'a fait prendre un coup de chaud	Entendez-vous les 'michans parler de Radom? Ma! Voilà un mécanicien qui a laissé son outil à hanter pour aller chercher du pain.	0.4595322835776146	0.0	1144	19
br2fr	llama3-70b-8192	"Me oa o chom du-hont en ti bihan ruz hag a veve brao deuz ma zamm douar.
"	"J'habitais là-bas dans la petite maison rouge et je vivais bien de mon petit bout de terre. 
"	"Je vais au champ avec mon petit cheval rouge et je vais très bien avec mon sac de terre.
"	0.6098394637631275	0.0	1144	17
br2fr	llama3-70b-8192	"Setu eun devez e oan o plantaň kôl eh erruas tri pe bevar ôtrou da zelled ha da vuzuri, hag int da lared din: << Ma den mad, emeze, ne dalvez ket ar boan deoh plantaň kôl aze rag nim a ha da gemer ho touar da blantañ e-barz eur gôlenn all hag a raio eur bomeenn diforh deuz ar re a oh o lakaad aze"""	"Voici qu'un jour où je plantais des choux, trois ou quatre messieurs sont arrivés pour regarder et mesurer, et ils m'ont dit : ""Mon bon monsieur, ont-ils dit, cela ne vaut pas la peine de planter des choux ici car nous allons prendre votre terre pour y planter une autre sorte de chou qui fera un pommé différent de ceux que vous plantez ici"""	"Voilà un jour où j'étais en train de planter des choux et de semer trois poignées de grain pour les faire pousser et les faire voir, et je disais : << Ma den mad, emeze, ne dalvez ket ar boan deoh plantaň kôl aze rag nim a ha da gemer ho touar da blantañ e-barz eur gôlenn all hag a raio eur bomeenn diforh deuz ar re a oh o lakaad aze"""	0.6140789583597333	0.0	1144	66
br2fr	llama3-70b-8192	"""Petra? 'mome. N'eo ket posubl avad, rag da gaoud kôl pome n'eus ket a seurt din-me. 
"	"""Quoi? ai-je dit. Ce n'est pas possible bon sang, car pour avoir des choux pommés, il n'y a pas mieux que les miens. 
"	"""Quoi? 'mome. N'eo ket posubl avad, rag da gaoud kôl pome n'eus ket a seurt din-me. 
"	0.4699399412429864	0.0	1144	17
br2fr	llama3-70b-8192	Warlene em-oa reou ha pa vije d'ober lakaad unan er zoubenn, e ranke ma gwreg ha me kregi on-daou er bommeen evid teurel anezi er pot-houarn	L'année dernière, j'en avais et quand il fallait en mettre un dans la soupe, ma femme et moi devions nous y mettre à deux pour prendre le pommé pour le jeter dans la marmite	J'étais en train de courir et de faire une course pour aller chercher un outil, j'ai rangé ma femme et j'ai mis deux bombes évidentes dans le pot en fer	0.4074665774613321	0.0	1144	26
br2fr	llama3-70b-8192	" 
"	"
"	" 
"	0.850933397970945	0.0	1144	2
br2fr	llama3-70b-8192	"Me houlenn petore espes eo ho reou ma'h int kaerroh evid ar re-mañ?""
"	"Je demande quelle sorte sont les vôtres s'ils sont plus beaux que ceux-ci?"" 
"	"Je demande quelle espèce est-ce que vous avez là, qui sont là pour les autres?""
"	0.6271745213970766	0.0	1144	13
br2fr	llama3-70b-8192	"""Ar gôlenn ah eom nim da blantaň aman, emeze, a zo eur radom"".
"	"""Le chou que nous allonsi, nous, planter ici, ont-ils dit, est un radôme"".
"	"""Le gôlenn ah eom nim da blantaň aman, emeze, a zo eur radom"".
"	0.4464604445300656	0.0	1144	13
