task	datetime	model	score_mean	score_std	price	n_tokens	src_n_words_mean	src_n_words_std
br2fr	2024-06-19_06:40:16	claude-3-opus-20240229	0.91	0.06	0.0	17556.0	19.0	16.5
br2fr	2024-06-19_06:41:50	gpt-4o-2024-05-13	0.91	0.05	0.12	13846.0	19.0	16.5
br2fr	2024-06-19_06:40:54	gemini-1.5-pro-001	0.83	0.12	0.0	14406.0	19.0	16.5
br2fr	2024-06-19_06:40:33	gemini-1.5-flash	0.77	0.13	0.0	14378.0	19.0	16.5
br2fr	2024-06-19_06:39:37	mistral-large-2402	0.69	0.18	0.0	16478.0	19.0	16.5
br2fr	2024-06-19_06:38:53	llama3-70b-8192	0.58	0.2	0.0	16016.0	19.0	16.5
br2fr	2024-06-19_06:41:29	gpt-4-turbo-2024-04-09	0.25	0.21	0.02	2200.0	11.5	10.6
br2fr	2024-06-19_06:41:07	gpt-3.5-turbo-0125	0.24	0.3	0.0	9720.0	20.5	19.9
br2fr	2024-06-19_06:38:33	command-r-plus	n/a	n/a	n/a	n/a	n/a	n/a
fr2br	2024-06-19_06:47:03	claude-3-opus-20240229	0.75	0.12	0.0	19320.0	19.8	17.4
fr2br	2024-06-19_06:47:26	gemini-1.5-flash	0.74	0.12	0.0	16155.0	19.8	17.4
fr2br	2024-06-19_06:47:51	gemini-1.5-pro-001	0.74	0.15	0.0	16155.0	19.8	17.4
fr2br	2024-06-19_06:49:39	gpt-4o-2024-05-13	0.74	0.13	0.14	14685.0	19.8	17.4
fr2br	2024-06-19_06:48:56	gpt-3.5-turbo-0125	0.66	0.19	0.09	69960.0	19.8	17.4
fr2br	2024-06-19_06:45:11	command-r-plus	0.31	0.21	0.0	68070.0	19.8	17.4
fr2br	2024-06-19_06:45:18	llama3-70b-8192	n/a	n/a	n/a	n/a	n/a	n/a
fr2br	2024-06-19_06:46:07	mistral-large-2402	n/a	n/a	n/a	n/a	n/a	n/a
fr2br	2024-06-19_06:49:20	gpt-4-turbo-2024-04-09	n/a	n/a	n/a	n/a	n/a	n/a
