br	fr
﻿Maro ha beziet an tad, Herri a arc’hantas an ti.	﻿Mort et enterré, le père, Herri prit en charge la maison.
  Goude, e lâras d’e vreur: — Mar karez dont ganin war ar marc’h, ne vi ket skuiz ha ni ‘yelo hon-daou da vale bro.	  Ensuite, il dit à son frère : — Si tu veux venir avec moi à cheval, tu ne seras pas fatigué et nous irons tous les deux voyager.
  — Ya zur, eme Charlez.	  — Oui, bien sûr, répondit Charles.
  Setu i o-daou war gein Dienez; Keun a rede war-lerc’h.	  Les voilà tous deux sur le dos de Dienez ; Keun courait derrière.
  Mes Herri a oa eur breur fall, henvel a-walc’h ouz Kaïn.	  Mais Herri était un mauvais frère, semblable à Caïn.
  Pa oant arru pell diouz ar gêr, hag hen o tiskenn da zibri eun tamm, hag o lâret neuze d’e vreur: — Arsa! emean, neo ket c’hoariou a zo ganimp; ro d'in-me da arc’hant ha da gi, peotramant out maro.	  Lorsqu'ils furent loin de la maison, et qu'il descendit pour manger un morceau, il dit ensuite à son frère : — Voilà ! Ce ne sont pas des jeux que nous avons ; donne-moi ton argent et ton chien, sinon tu es mort.
 C’hoant an nevoa da gaout pep tra evitan e-unan: an arc’hant, da brenan dilhad kaer, hag ar c’hi ive, evit bean stummet brao, ha sevel en renk, mar gallje.	 Il voulait tout avoir pour lui seul : l'argent, pour acheter de beaux vêtements, et le chien aussi, pour être bien vu et monter en grade, s'il le pouvait.
  E vreur a chomas sebezet o klevet anean, ken na oa ket evit komz.	  Son frère resta stupéfait en l'entendant, au point qu'il ne pouvait pas parler.
 Mes heman a grogas en e vleo hag, o tennan e gontell, e troc’has d’ean e c’houg, e taolas anean en doufle, hag e laeras an arc’hant.	  Mais celui-ci saisit ses cheveux et, tirant son couteau, lui coupa la gorge, le jeta dans le fossé et vola l'argent.
  Neuze e lammas adarre war e varc’h hag a-rôk, en eur c’hervel ar c’hi: — Keun! Keun.	  Puis il sauta de nouveau sur son cheval et partit, en appelant le chien : — Keun ! Keun.
 Ar c’hi paour a oa chomet e-kichen e vestr lazet.	 Le pauvre chien était resté à côté de son maître tué.
  Ne ouie ket da gentan, petra ‘c’hoare d’ean; mes: pa welas ar gwad o tiveran diouz e c’houg, e krogas da hijan anean evel p’an nike sonjet e oa kousket, hag o welet ne zave ket, hag hen da yudal ken a vije clever a deir leo tro-war-dro.	  Il ne savait pas au début ce qui lui était arrivé ; mais quand il vit le sang couler de sa gorge, il commença à le lécher comme s'il pensait qu'il dormait, et voyant qu'il ne se levait pas, il se mit à hurler si fort qu'on pouvait l'entendre à trois lieues à la ronde.
  Tud spontet gant e yudadennou e deuas war glevet beteg ennan.	  Effrayés par ses hurlements, des gens vinrent voir ce qui se passait.
  O welet al loen bras ha krenv ma oa heman, ne gredent ket tostât.	  Voyant le grand et courageux animal qu'il était, ils n'osaient pas s'approcher.
  Mes ar c’hi a deuas beteg enne, o sellet oute.	  Mais le chien vint vers eux, les regardant.
