task	model	src	target	prediction	score	price	n_tokens	src_n_words
br2fr	command-r-plus	﻿Maro ha beziet an tad, Herri a arc’hantas an ti	﻿Mort et enterré, le père, Herri prit en charge la maison	.	0.0366474659018481	0.0	1057	10
br2fr	llama3-70b-8192	﻿Maro ha beziet an tad, Herri a arc’hantas an ti	﻿Mort et enterré, le père, Herri prit en charge la maison	Mon père et ma mère, Henri a hérité la maison	0.5858021998609798	0.0	1094	10
br2fr	llama3-70b-8192	  Goude, e lâras d’e vreur: — Mar karez dont ganin war ar marc’h, ne vi ket skuiz ha ni ‘yelo hon-daou da vale bro	  Ensuite, il dit à son frère : — Si tu veux venir avec moi à cheval, tu ne seras pas fatigué et nous irons tous les deux voyager	  Après, il dit à son frère : — Si je monte sur le cheval, je ne suis pas fatigué et nous deux allons valoir bro	0.8178058471917948	0.0	1094	26
br2fr	llama3-70b-8192	  — Ya zur, eme Charlez	  — Oui, bien sûr, répondit Charles	  — Oui, dit Charles	0.8911607305583348	0.0	1094	7
br2fr	llama3-70b-8192	  Setu i o-daou war gein Dienez; Keun a rede war-lerc’h	  Les voilà tous deux sur le dos de Dienez ; Keun courait derrière	  Voilà, ils sont tous deux sur le chemin de Dienez ; Keun est resté derrière	0.7486732693109872	0.0	1094	12
br2fr	llama3-70b-8192	  Mes Herri a oa eur breur fall, henvel a-walc’h ouz Kaïn	  Mais Herri était un mauvais frère, semblable à Caïn	  Mais Henri était un mauvais frère, semblable à Caïn	0.8452629059409582	0.0	1094	13
br2fr	llama3-70b-8192	  Pa oant arru pell diouz ar gêr, hag hen o tiskenn da zibri eun tamm, hag o lâret neuze d’e vreur: — Arsa! emean, neo ket c’hoariou a zo ganimp; ro d'in-me da arc’hant ha da gi, peotramant out maro	  Lorsqu'ils furent loin de la maison, et qu'il descendit pour manger un morceau, il dit ensuite à son frère : — Voilà ! Ce ne sont pas des jeux que nous avons ; donne-moi ton argent et ton chien, sinon tu es mort	  Quand ils furent loin de la ville, et qu'ils descendirent un peu, il dit à son frère : — Ah ! je vois, il n'y a pas de jeu qui vaille ; donne-moi de l'argent et du pain, sinon je vais mourir	0.8220202676480179	0.0	1094	42
br2fr	llama3-70b-8192	 C’hoant an nevoa da gaout pep tra evitan e-unan: an arc’hant, da brenan dilhad kaer, hag ar c’hi ive, evit bean stummet brao, ha sevel en renk, mar gallje	 Il voulait tout avoir pour lui seul : l'argent, pour acheter de beaux vêtements, et le chien aussi, pour être bien vu et monter en grade, s'il le pouvait	  Il voulait avoir tout pour lui-même : l'argent, les beaux habits, et le chien, pour monter en rang, comme il pouvait	0.9242705162624628	0.0	1094	30
br2fr	llama3-70b-8192	  E vreur a chomas sebezet o klevet anean, ken na oa ket evit komz	  Son frère resta stupéfait en l'entendant, au point qu'il ne pouvait pas parler	  Son frère resta stupéfait en l'écoutant, si bien qu'il n'était pas prêt à parler	0.9283126843115695	0.0	1094	16
br2fr	llama3-70b-8192	 Mes heman a grogas en e vleo hag, o tennan e gontell, e troc’has d’ean e c’houg, e taolas anean en doufle, hag e laeras an arc’hant	  Mais celui-ci saisit ses cheveux et, tirant son couteau, lui coupa la gorge, le jeta dans le fossé et vola l'argent	  Mais il se mit à fouiller dans sa poche et, en tirant son couteau, il le planta dans le cou du chien, il le tua, et il prit l'argent	0.7265449735140381	0.0	1094	28
br2fr	llama3-70b-8192	  Neuze e lammas adarre war e varc’h hag a-rôk, en eur c’hervel ar c’hi: — Keun! Keun	  Puis il sauta de nouveau sur son cheval et partit, en appelant le chien : — Keun ! Keun	  Alors il remonta à cheval et cria, en appelant le chien : — Keun ! Keun	0.8844137664162195	0.0	1094	19
br2fr	llama3-70b-8192	 Ar c’hi paour a oa chomet e-kichen e vestr lazet	 Le pauvre chien était resté à côté de son maître tué	  Le pauvre chien était resté près de son maître laissé	0.8473023739025365	0.0	1094	11
br2fr	llama3-70b-8192	  Ne ouie ket da gentan, petra ‘c’hoare d’ean; mes: pa welas ar gwad o tiveran diouz e c’houg, e krogas da hijan anean evel p’an nike sonjet e oa kousket, hag o welet ne zave ket, hag hen da yudal ken a vije clever a deir leo tro-war-dro	  Il ne savait pas au début ce qui lui était arrivé ; mais quand il vit le sang couler de sa gorge, il commença à le lécher comme s'il pensait qu'il dormait, et voyant qu'il ne se levait pas, il se mit à hurler si fort qu'on pouvait l'entendre à trois lieues à la ronde	  Il ne savait pas d'abord, ce qu'il allait faire ; mais : quand il vit le sang couler de son cou, il se mit à hurler comme si on l'avait frappé, et il regarda, mais il ne voyait pas, et il était comme s'il était tombé	0.779175284319009	0.0	1094	50
br2fr	llama3-70b-8192	  Tud spontet gant e yudadennou e deuas war glevet beteg ennan	  Effrayés par ses hurlements, des gens vinrent voir ce qui se passait	  Les gens s'étonnèrent de sa folie qui venait de surgir	0.5810262666399308	0.0	1094	13
br2fr	llama3-70b-8192	  O welet al loen bras ha krenv ma oa heman, ne gredent ket tostât	  Voyant le grand et courageux animal qu'il était, ils n'osaient pas s'approcher	  Quand il vit le grand et fort chien qu'il était, ils ne croyaient pas	0.6335607990931151	0.0	1094	16
br2fr	llama3-70b-8192	  Mes ar c’hi a deuas beteg enne, o sellet oute	  Mais le chien vint vers eux, les regardant	  Mais le chien vint jusqu'à lui, en le regardant	0.892918361846301	0.0	1094	12
br2fr	mistral-large-2402	﻿Maro ha beziet an tad, Herri a arc’hantas an ti	﻿Mort et enterré, le père, Herri prit en charge la maison	"

"	0.0146882167483762	0.0	1691	10
br2fr	mistral-large-2402	  Goude, e lâras d’e vreur: — Mar karez dont ganin war ar marc’h, ne vi ket skuiz ha ni ‘yelo hon-daou da vale bro	  Ensuite, il dit à son frère : — Si tu veux venir avec moi à cheval, tu ne seras pas fatigué et nous irons tous les deux voyager	Le père étant mort, Herri hérita de la maison	0.2611819811832412	0.0	1691	26
br2fr	mistral-large-2402	  — Ya zur, eme Charlez	  — Oui, bien sûr, répondit Charles	  Alors, il dit à son frère : — Puisque tu t'es occupé du cheval, je ne dirai rien et nous pourrons partir tous les deux dans le pays	0.3782215800591985	0.0	1691	7
br2fr	mistral-large-2402	  Setu i o-daou war gein Dienez; Keun a rede war-lerc’h	  Les voilà tous deux sur le dos de Dienez ; Keun courait derrière	  — Oui, mon cher Charles	0.2217992596811486	0.0	1691	12
br2fr	mistral-large-2402	  Mes Herri a oa eur breur fall, henvel a-walc’h ouz Kaïn	  Mais Herri était un mauvais frère, semblable à Caïn	  Ils se mirent tous les deux en route ; Le chien courait devant eux	0.267526106282545	0.0	1691	13
br2fr	mistral-large-2402	  Pa oant arru pell diouz ar gêr, hag hen o tiskenn da zibri eun tamm, hag o lâret neuze d’e vreur: — Arsa! emean, neo ket c’hoariou a zo ganimp; ro d'in-me da arc’hant ha da gi, peotramant out maro	  Lorsqu'ils furent loin de la maison, et qu'il descendit pour manger un morceau, il dit ensuite à son frère : — Voilà ! Ce ne sont pas des jeux que nous avons ; donne-moi ton argent et ton chien, sinon tu es mort	  Mais Herri était un frère méchant, semblable à Caïn	0.3952298373085416	0.0	1691	42
