task	datetime	model	score_mean	score_std	price	n_tokens	src_n_words_mean	src_n_words_std
br2fr	2024-06-19_07:00:06	gpt-4o-2024-05-13	0.93	0.06	0.13	15300.0	20.3	12.5
br2fr	2024-06-19_06:58:22	claude-3-opus-20240229	0.92	0.06	0.0	18825.0	20.3	12.5
br2fr	2024-06-19_06:58:39	gemini-1.5-flash	0.92	0.06	0.0	15900.0	20.3	12.5
br2fr	2024-06-19_06:59:45	gpt-4-turbo-2024-04-09	0.91	0.15	0.15	16815.0	20.3	12.5
br2fr	2024-06-19_06:57:08	llama3-70b-8192	0.79	0.11	0.0	16410.0	20.3	12.5
br2fr	2024-06-19_06:57:42	mistral-large-2402	0.31	0.11	0.0	25365.0	20.3	12.5
br2fr	2024-06-19_06:56:51	command-r-plus	n/a	n/a	n/a	n/a	n/a	n/a
br2fr	2024-06-19_06:58:50	gemini-1.5-pro-001	n/a	n/a	n/a	n/a	n/a	n/a
br2fr	2024-06-19_06:59:15	gpt-3.5-turbo-0125	n/a	n/a	n/a	n/a	n/a	n/a
fr2br	2024-06-19_07:03:29	claude-3-opus-20240229	0.78	0.09	0.0	18900.0	21.0	14.0
fr2br	2024-06-19_07:06:19	gpt-4o-2024-05-13	0.75	0.09	0.15	15405.0	21.0	14.0
fr2br	2024-06-19_07:05:57	gpt-4-turbo-2024-04-09	0.73	0.11	0.17	17100.0	21.0	14.0
fr2br	2024-06-19_07:01:55	llama3-70b-8192	0.72	0.09	0.0	16890.0	21.0	14.0
fr2br	2024-06-19_07:02:32	mistral-large-2402	0.62	0.09	0.0	19470.0	21.0	14.0
fr2br	2024-06-19_07:01:41	command-r-plus	0.45	0.09	0.0	67620.0	21.0	14.0
fr2br	2024-06-19_07:03:51	gemini-1.5-flash	n/a	n/a	n/a	n/a	n/a	n/a
fr2br	2024-06-19_07:04:32	gemini-1.5-pro-001	n/a	n/a	n/a	n/a	n/a	n/a
fr2br	2024-06-19_07:05:31	gpt-3.5-turbo-0125	n/a	n/a	n/a	n/a	n/a	n/a
