task	datetime	model	score_mean	score_std	price	n_tokens	src_n_words_mean	src_n_words_std
br2fr	2024-06-18_23:38:27	claude-3-opus-20240229	0.88	0.18	0.0	4140	6.9	3.7
br2fr	2024-06-18_23:38:51	gemini-1.5-pro-001	0.84	0.17	0.0	3140	6.9	3.7
br2fr	2024-06-18_23:39:34	gpt-4o-2024-05-13	0.81	0.17	0.02	3270	6.9	3.7
br2fr	2024-06-18_23:39:20	gpt-4-turbo-2024-04-09	0.8	0.21	0.03	3750	6.9	3.7
br2fr	2024-06-18_23:38:39	gemini-1.5-flash	0.78	0.19	0.0	3140	6.9	3.7
br2fr	2024-06-18_23:37:57	llama3-70b-8192	0.74	0.18	0.0	3440	6.9	3.7
br2fr	2024-06-18_23:39:02	gpt-3.5-turbo-0125	0.66	0.16	0.0	3670	6.9	3.7
br2fr	2024-06-18_23:37:45	command-r-plus	0.58	0.12	0.0	3420	6.9	3.7
br2fr	2024-06-18_23:38:10	mistral-large-2402	0.57	0.15	0.0	3940	6.9	3.7
fr2br	2024-06-18_23:43:29	claude-3-opus-20240229	0.69	0.14	0.0	4160	6.5	3.6
fr2br	2024-06-18_23:44:20	gpt-4-turbo-2024-04-09	0.68	0.17	0.03	3640	6.5	3.6
fr2br	2024-06-18_23:44:32	gpt-4o-2024-05-13	0.65	0.17	0.03	3360	6.5	3.6
fr2br	2024-06-18_23:43:41	gemini-1.5-flash	0.64	0.18	0.0	3110	6.5	3.6
fr2br	2024-06-18_23:43:54	gemini-1.5-pro-001	0.61	0.14	0.0	3060	6.5	3.6
fr2br	2024-06-18_23:43:09	mistral-large-2402	0.58	0.14	0.0	4020	6.5	3.6
fr2br	2024-06-18_23:44:05	gpt-3.5-turbo-0125	0.57	0.16	0.0	3710	6.5	3.6
fr2br	2024-06-18_23:42:57	llama3-70b-8192	0.25	0.16	0.0	3820	6.5	3.6
fr2br	2024-06-18_23:42:49	command-r-plus	0.23	0.18	0.0	3300	6.5	3.6
